,tweets,sentiment
173,"Bayangkan suasana balapan Formula E ini ada di Jakarta, 4 Juni 2022 nanti? Kira-kira siapa yang akan jadi juara di seri kali ini ya?----Can you imagine the atmosphere of Formula E in Jakarta at 4th June 2022? Can you guess will be the winner?#formulae"
174,Pengamat Tata Kota Yayat Supriatna menyebut pembangunan sirkuit Formula E Jakarta jangan mengabaikan keselamatan pembalap. #SirkuitFormulaE
175,KPK tegaskan tak main- main usut dugaan korupsi formula e jakarta#KPK
176,"Klo di Jakarta, anggaran utk sektor vital sprt subsidi pangan bagi warga rentan &amp; miskin, subsidi biaya transportasi (Jak Lingko) tetap lanjut, dan skrg malah makin naik anggarannya, mski ada event Formula E. Pdhl kalo kata JKWer akut ""Anies hambur2kan APBD DKI"", bego emg 😆"
177,Jadikan ajang Formula E menjadi ajang menduniakan budaya daerah setempat. Semoga nantinya unsur budaya BETAWI bisa mendominasi area sikuit Formula E Jakarta.
178,"Katanya FIA lho ya, sirkuit membahayakan pembalap, revisinya tidak menjamin selesai sesuai target waktu.Komite Pelaksana Formula E Jakarta Irawan Sucahyono saat menjelaskan revisi sirkuit."
179,Nah loh karena sirkuit Formula E berpotensi mmbahayakan pembalap akhir nya FIA turun tangan 😆 dan tiket Formula E di jakarta NOT FOR SALE   !!! RUGI BESAR2 AN NEGARA NIH GARA2   !!! Suruh kadrun aje pd balap di sana biar terkenal Dunia dan Akherat 🤭
180,"ini Formula E di Mexico baru2 saja, bagaimana di Jakarta?? kok baru tanam rumput ya"
181,Seakan akan Jakarta itu proyek nya cuma formula e dan jis 😂.
182,"Geratis aje biar ntar gub.nya dikasih penghargaan..63 Hari Jelang Formula E Jakarta, Kepastian Tiket Masih Tanda Tanya"
183,"Formula E KAGAK BAKAL digelar JUN22 ini..Kalau gue salah, gue bakal jalan kaki dari Yogyakarta ke Jakarta..🤣🤣🤣"
